SMILES,Target
CCCCCC,0
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,0
Nc1cccc(O)c1,0
O=C1C=CC(=O)C=C1,1
Cc1cccc(C)c1,0
CCCCCCCC(=O)OCC(CCC)CCCCC,0
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,1
C=CCc1ccc(OC)cc1,1
CCCCCCC(C=O)=Cc1ccccc1,0
Cc1cc(N)ccc1N,1
O=C(NCNC(=O)NC1C(=O)NC(=O)N1CO)NC1C(=O)NC(=O)N1CO,1
CC(CC=O)CCCC(C)(C)O,1
C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,1
Nc1ccc(N)c([N+](=O)[O-])c1,1
CC(C)=CCCC(C)=CCCC(C)=CC=O,1
CC(C)O,0
CC(C)=CCCC(C)CCO,1
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,0
O=c1[nH]sc2ccccc12,1
C=C(C)C1CC=C(C)CC1,1
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,1
CC(C)(O)CCCC1=CCC(C=O)CC1,1
CCCCCCI,1
N#CCCC(Br)(C#N)CBr,1
O=CCc1ccccc1,1
Cc1ccc(S(=O)(=O)NCl)cc1,1
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1
Cc1cc(O)ccc1N,1
O=c1ccc2ccccc2o1,0
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1
CCCCOC(=O)c1ccccc1C(=O)OCCCC,0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0
C=CC(=O)OCCO,1
Oc1cccc(O)c1,0
O=c1c(-c2ccccc2)c1-c1ccccc1,1
CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1,1
O=Cc1ccccc1,0
CCOC(=O)c1ccc(N)cc1,1
CCC=CCCCCC=O,0
CC(C)=CCCC(C)=CCCC(C)=CCO,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0
O=C1OC(=O)C2CCCCC12,1
CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-],0
COc1ccc(C(C)=O)cc1,0
O=CC=Cc1ccccc1,1
CCCc1ccc(O)c(OC)c1,0
N=C1CC(=Nc2ccc(N)cc2)C(=N)CC1=Nc1ccc(N)cc1,1
CCC(=O)C=Cc1ccc(OC)cc1,1
S=c1[nH]c2ccccc2s1,1
CCCCCCOC(=O)c1ccccc1O,0
O=C(OCc1ccccc1)c1ccccc1O,0
COc1ccc(C=O)cc1Cl,1
CCN(CC)C(=O)c1cccc(C)c1,1
C=O,1
O=C(OOC(=O)c1ccccc1)c1ccccc1,1
C=CC(=O)OCCCC,1
C=CC(=O)OCC(CCC)CCCCC,1
N#CCCOc1ccccc1,1
CC(=O)Oc1ccc(C(=O)O)cc1,1
O=[N+]([O-])c1cc([N+](=O)[O-])c(S(=O)(=O)O)c([N+](=O)[O-])c1,1
Cn1sccc1=O,1
Nc1ccccc1O,1
CCOc1cc(C=O)ccc1O,0
CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(OCCO)C1OC(OCCO)CC1OCCO,0
O=C(C=Cc1ccccc1)OCc1ccccc1,0
CC(C=O)=Cc1ccccc1,1
CCCCCCCCCCCCCC(=O)OC(C)C,0
CCCCNC(=O)OC#CCI,1
CCOc1c(OCC)c(=O)c1=O,0
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1
CCCCOCCOC(C)=O,1
C=CC(=O)OC,1
O=CC=O,1
CCCCCCCC(=O)O,0
CCCCCC(C=O)=Cc1ccccc1,0
CN(C)CCCN,0
CC(C)(C)C(=O)CC(=O)C(C)(C)C,0
COc1cc(C)ccc1O,0
Cc1ccc2oc(=O)ccc2c1,0
CN(C)C(=S)SSC(=S)N(C)C,1
O=C(O)c1ccc2c(c1)C(=O)OC2=O,1
COS(C)(=O)=O,1
C=C(O)C(=O)CC(C)C,1
CCCCCCCCCCCCCCCC[N+](C)(C)C,0
c1ccncc1,0
CCC=CC=CC=O,1
C=C(C)C1CC=C(C=O)CC1,1
COc1cc(C=O)ccc1O,1
COC(=O)CCBr,1
C=CCc1ccc(O)c(OC)c1,1
C=CC(=O)OCC,1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
NCCNCCN,0
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1,1
CCCCCCCCC(=O)O,0
O=C(C(=O)c1ccco1)c1ccco1,1
C=C(C)C(=O)OCC(C)O,1
O=[N+]([O-])c1ccc(CBr)cc1,1
C=C(C)C(=O)OCCOC(=O)C(=C)C,1
C=C(C)C1CC=C(C)C(=O)C1,1
Cc1cccc(O)c1O,1
C=C(O)C(C)=O,1
Nc1ccc(S(N)(=O)=O)cc1,0
CCCCN(CCCC)c1ccccc1,0
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,1
O=CC(O)C(O)C(O)C(O)CO,1
CC1=C(C=O)C(C)(C)CC=C1,1
O=C(Oc1ccccc1)c1ccccc1,1
COC(=O)c1ccccc1O,0
Nc1ccc(Cl)cc1,0
CCCOC(=O)c1ccc(O)cc1,0
C=CC(C)(O)CCC=C(C)C,0
C=C(O)C(=O)c1ccccc1,1
COC(=O)c1ccc(O)cc1,0
CCOC(=O)C=CC(=O)OCC,1
O=C=NCCCCCCN=C=O,1
CC(C=O)c1ccccc1,1
CCOC(=O)CC(=O)c1ccccc1,0
CN(C)c1ccc(N=O)cc1,1
C=CC(=O)OCC(CC)CCCC,1
C=C(Cl)Cl,0
CCCCCCCCCCCCCCCCI,1
CCCCCCCCOC(=O)OCCCCCCCC,0
CCCCCCCCOCCCCCCCC,0
CC=Cc1ccc(O)c(OC)c1,1
BrCc1ccccc1,1
CCC=C1OC(=O)c2ccccc21,1
CCCC=CC=O,1
Nc1ccc(C(=O)O)cc1,0
O=C1OC(=O)c2ccccc21,1
Nc1ccccc1,0
CCOS(=O)(=O)OCC,1
CNc1ccc(O)cc1,1
O=C1C=CC(=O)O1,1
O=CCCCC=O,1
CC(C=O)Cc1ccc(C(C)(C)C)cc1,1
O=c1c(O)c(O)c1=O,1
