SMILES,Target
Cc1cccc(CC(C)(C)CO)c1,0
COC(=O)c1ccccc1O,0
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,1
CN(C)C(=S)SSC(=S)N(C)C,1
CC(C)=CCCC(C)=CCCC(C)=CCO,1
Cc1ccc2oc(=O)ccc2c1,0
CCCCCCCCCCCCCC(=O)OC(C)C,0
CC(C)=CCCC(C)=CC=O,1
CC=CC(=O)C1=C(C)C=CCC1(C)C,0
CCOC=C1N=C(c2ccccc2)OC1=O,1
O=CC=O,1
O=C(OCc1ccccc1)c1ccccc1,0
CC(C)=CCCC(C)CC=O,0
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,1
CC(C=O)Cc1ccc(C(C)(C)C)cc1,1
CC(C)=CCCC(C)=CCO,1
CC(C=O)Cc1ccc(C(C)C)cc1,0
CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(OCCO)C1OC(OCCO)CC1OCCO,0
Nc1cccc(O)c1,1
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,1
CC(C=O)=Cc1ccccc1,0
CC=CC(=O)C1C(C)=CCCC1(C)C,0
C=C(O)C(=O)CC(C)C,1
CCOc1cc(C=O)ccc1O,0
CN(C)CCCN,1
Nc1ccccc1O,1
COc1cc(C)ccc1O,0
C=C(C)C1CC=C(C=O)CC1,1
Nc1ccc(S(N)(=O)=O)cc1,1
C=CC(=O)OCC,1
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,1
N=C1CC(=Nc2ccc(N)cc2)C(=N)CC1=Nc1ccc(N)cc1,1
COC1CC2CC1C1CC(C=O)CC21,0
C=C(C)C(=O)OC,1
Nc1ccc(S(=O)(=O)O)cc1,0
CCC(=O)C=Cc1ccc(OC)cc1,1
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1
N#CCCC(Br)(C#N)CBr,1
O=C1C=CC(=O)O1,1
OCC=Cc1ccccc1,1
CCCCOCC1CO1,1
CC=Cc1ccc(O)c(OC)c1,1
C=C(C)C(=O)OCC(C)O,1
CCCCCCOC(=O)c1ccccc1O,0
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1
CC(C)(O)CCCC1=CCC(C=O)CC1,1
CC(=O)C1(C)CC2=C(CCCC2(C)C)CC1C,0
OCc1ccccc1,1
CCOC(=O)c1ccccc1C(=O)OCC,0
C=CC(=O)OCCO,1
CCCCCC#CC(=O)OC,1
CCC=C1OC(=O)c2ccccc21,1
C=O,1
O=CCCc1ccccc1,1
Oc1cccc(O)c1,1
C=CC(C)(O)CCC=C(C)C,1
O=C1OC(=O)c2ccccc21,1
O=CCCCC=O,1
COc1ccc(C(C)=O)cc1,0
BrCc1ccccc1,1
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1
O=C(O)c1ccc2c(c1)C(=O)OC2=O,1
CC1=CCC(C=O)C(C)C1C,0
O=C(C=Cc1ccccc1)OCc1ccccc1,0
CC(C)C1=CCC(CCOC=O)=CC1,1
CCCC=CC=O,1
Nc1ccc(N)c([N+](=O)[O-])c1,1
C=C(C)C(=O)OCCOC(=O)C(=C)C,1
CC=CC(=O)C1C(C)C=CCC1(C)C,1
O=C1CCc2ccccc2O1,1
CCCCCC(C=O)=Cc1ccccc1,1
O=C(OOC(=O)c1ccccc1)c1ccccc1,1
C=C(C)C1CC=C(C)C(=O)C1,1
CCCCO,0
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1
S=c1[nH]c2ccccc2s1,1
Cc1cc(N)ccc1N,1
COc1ccc(CO)cc1,0
N#CC=Cc1ccccc1,1
CC(=O)C=Cc1ccccc1,1
CCCCCC=C1CCCC1=O,1
CCCCCCC#CC(=O)OC,1
O=C1C=CC(=O)C=C1,1
O=C(OCc1ccccc1)c1ccccc1O,0
OCC(O)CS,1
Cn1sccc1=O,1
COc1cc(C=O)ccc1O,0
Cc1cccc(C)c1,0
CCCCCCCC(=O)O,0
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0
C=CC(CCCCC)OC(C)=O,1
CCOC(=O)c1ccc(N)cc1,1
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,1
CCCCCCC(C=O)=Cc1ccccc1,0
CC1=CC(C)C(CO)C(C)C1,1
O=C(Oc1ccccc1)c1ccccc1,1
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1
O=CC=Cc1ccccc1,1
CC(C)=CCCC(C)CCO,1
O=c1ccc2ccccc2o1,1
CC(CC=O)CCCC(C)(C)O,1
Nc1ccc(C(=O)O)cc1,0
O=CCc1ccccc1,1
O=Cc1ccccc1,0
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0
O=c1c(-c2ccccc2)c1-c1ccccc1,1
c1ccncc1,0
Cc1ccc(CCC=O)cc1,1
CC(C)O,0
CC=CC(=O)C1=C(C)CCCC1(C)C,0
CC(=O)C(C)=CC1C(C)=CCCC1(C)C,0
Oc1ccc(O)cc1,1
NCCNCCN,1
CCOC(=O)C=CC(=O)OCC,1
