SMILES,Target
C=Cn1ccnc1,0
CC(=O)C(=NNc1cc(Cl)c(-c2cc(Cl)c(NN=C(C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C,0
OCc1ccccc1,0
C(C=CC)=CC=O,1
CCCCCCOCCOCCO,0
C(=c1c(C)cc(C)cc1=C)(O)P(c1ccccc1)(c1ccccc1)=O,1
COCC(C)OCC(C)OC(C)CO,0
C(C)(c1c(c(C(C)(C)C)cc(CN(C)C)c1)O)(C)C,1
C(Nc1ccc(c(O)c1)C)CO,1
Cc1ccc2[nH]c3cc4c(=O)c5cc(C)ccc5[nH]c4cc3c(=O)c2c1,0
c1cc(ccc1)C=C(CCCCCC)C=O,1
C(OCC(OCC(C)OC(C=C)=O)C)(COC(C=C)=O)C,1
CCCCCC,0
CCOC(=O)c1nnc[nH]1,0
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,0
C[N+](C)(CCCCCCCCCCCCC)Cc1ccccc1,1
O=C(C=Cc1ccc(O)cc1)c1ccccc1O,0
CCCCOCC1OC1,1
ClCCOCOCCCl,0
CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,0
CNC(=O)NC,0
s1ccc(=O)n1C,1
CCN(CC)c1ccc([C+](c2ccc(N(CC)CC)cc2)c2ccc(N(CC)CC)cc2)cc1,1
CC(C)(C)C(=O)CC(=O)C(C)(C)C,1
CCCCOC(=O)c1ccccc1C(=O)OCCCC,0
O1C(C2C(CCCC2)C1=O)=O,1
C=COC(C)=O,0
CC(C)=NO,0
O=C(Nc1cc(Cl)c(NC(=O)c2cc3ccccc3c(N=Nc3cc(Cl)ccc3Cl)c2O)cc1Cl)c1cc2ccccc2c(N=Nc2cc(Cl)ccc2Cl)c1O,0
N#CC1CC(F)CN1C(=O)C(N)C(c1ccc(F)cc1)c1ccc(F)cc1,0
c1c(O)c(cc(C=CC)c1)OC,1
OC(C(CC(C)C)=O)=C,1
CCCCCCCCCc1ccc(OP(Oc2ccc(CCCCCCCCC)cc2)Oc2ccc(CCCCCCCCC)cc2)cc1,0
O=C(Nc1cc(Cl)c(NC(=O)c2cc3ccccc3c(N=Nc3cc(C(F)(F)F)ccc3Cl)c2O)cc1Cl)c1cc2ccccc2c(N=Nc2cc(C(F)(F)F)ccc2Cl)c1O,0
CC(=O)C(=NNc1ccc(-c2ccc(NN=C(C(C)=O)C(=O)Nc3ccc(C)cc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1,0
CC(Cl)CCl,0
c12ccccc2c2ccc3cccc4ccc(c1)c2c34,1
C(C)(C)CCOCCC(C)C,1
Clc1c(C(=O)OOC(=O)c2c(Cl)cc(Cl)cc2)ccc(c1)Cl,1
CC(C)CCO,0
C(=CC=O)(CCC=C(C)CCC=C(C)C)C,1
COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1,0
Cc1ccn[nH]1,0
c1cc(ccc1OC(OC1C2C(OC1)OCC2)=O)[N+](=O)[O-],1
C(C(CCCC(C)C)C)CCC(CCCC1(CCc2c(c(O)c(c(C)c2O1)C)C)C)C,1
COc1ccccc1NN=C(C(C)=O)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,0
CN(C)CCOCCN(C)C,0
CC(=O)N1CCN(C2CCN(C(=O)N(C)C(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(c3ccc(F)cc3C)C2)CC1,0
COC(=O)OC,0
c1ccc2c(C)c3ccc4ccccc4c3c(c2c1)C,1
CCCOC(=O)C(C)O,0
c1cc(cc(c1)C(=O)O)-c1c(O)c(cc(Cl)c1)[N+](=O)[O-],1
C1=CC2CCC1C2,0
CC(C)CC(C)(O)CCC(C)(O)CC(C)C,0
CCC(C)c1cc(S(=O)(=O)O)cc(-n2nc3ccccc3n2)c1O,0
COC(=O)CCBr,0
O=C(C)C(=CC1C(CCC=C1C)(C)C)C,1
OCC1CO1,0
Cn1c(=O)ccs1,1
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0
COc1ccc(C(=O)Nc2ccccc2)cc1N=Nc1c(O)c(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc2ccccc12,0
COc1ccc(C)cc1[N+](=O)[O-],0
O1c2c(O)ccc3CC4NCCC5(C4(C=CC(C51)=O)O)c23,1
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,1
Nc1ccc(S(=O)(=O)O)cc1,0
CN(C)CCN(C)CCN(C)C,0
NC(=O)O,0
O=C1C=Cc2ccccc2C1=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0
N(CCCN)CCCN,1
C1C(=O)N(C(C=1)=O)c1ccc(c(N2C(=O)C=CC2=O)c1)C,1
OCCOCCO,0
COc1ccc(cc1OC)C=O,1
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
Nc1ccc(S(N)(=O)=O)cc1,0
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,0
CCCOc1ccc(Br)c(C(=O)c2ccc(OC)cc2O)c1,0
CC(C)(C)OC(=O)c1cccc(N)c1,0
C(CC(=O)NCCC(CCC(=O)O)c1c(S(=O)(O)=O)cccc1)CCCCCC,1
CC1=NN(c2ccc(C)cc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccc(C)cc4)N=C3C)c(Cl)c2)cc1Cl,0
c1(Cl)nc(nc(n1)Cl)Cl,1
C[N+]1(CC(=O)NN=Cc2ccccc2O)CCOCC1,1
Brc1c(C=O)cc(cc1)O,1
