SMILES,Target
C=C(O)C(=O)OC,0
C=C(C)C1CC=C(C)C(=O)C1,1
O=CC(O)C(O)C(O)C(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,0
CC(=O)C=Cc1ccccc1,1
CCCCOCC1CO1,0
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,0
C=C(O)C(C)=O,1
Nc1cc([N+](=O)[O-])ccc1F,0
CC(=O)CC(=O)c1ccccc1,1
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1
O=CC=O,1
c1ccncc1,1
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,1
O=C1OC(=O)c2ccccc21,0
CCCCBr,1
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0
CCOC(=O)c1ccccc1C(=O)OCC,1
CCCCCC#CC(=O)OC,1
O=CC=Cc1ccccc1,1
O=C1C=CC(=O)O1,1
O=C(NCNC(=O)NC1C(=O)NC(=O)N1CO)NC1C(=O)NC(=O)N1CO,1
Cn1sccc1=O,1
O=C(OCc1ccccc1)c1ccccc1O,0
BrCc1ccccc1,1
CC(C=O)c1ccccc1,1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
O=CCCCC=O,1
COC(=O)c1ccccc1O,0
C=CCc1ccc(O)c(OC)c1,1
CCOC(=O)CC(=O)c1ccccc1,0
C=C(O)C(=O)c1ccccc1,1
COc1ccc(C(C)=O)cc1,0
O=CCc1ccccc1,1
N=C1CC(=Nc2ccc(N)cc2)C(=N)CC1=Nc1ccc(N)cc1,1
CC(C=O)Cc1ccc(C(C)(C)C)cc1,1
CC=Cc1ccc(O)c(OC)c1,0
N#CCCC(Br)(C#N)CBr,1
CC(C=O)Cc1ccc(C(C)C)cc1,0
O=c1c(-c2ccccc2)c1-c1ccccc1,1
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,1
N#CCCOc1ccccc1,1
Nc1cccc(O)c1,1
O=c1ccc2ccccc2o1,0
CC(C)=CCCC(C)=CCCC(C)=CCO,1
CN(C)C(=S)SSC(=S)N(C)C,1
C=CCCCCCCCCC=O,0
C=C(C)C1CC=C(C)CC1,1
O=c1[nH]sc2ccccc12,1
O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,1
CCCCCCI,1
C=CC(C)(O)CCC=C(C)C,1
CCN(CC)C(=O)c1cccc(C)c1,0
C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1,0
Oc1cccc(O)c1,1
CCCCCCBr,0
ClCc1ccc2ccc3cccc4ccc1c2c34,0
CC(C)=CCCC(C)CCO,1
CN(C)C=O,0
CC=CC(=O)C1=C(C)CCCC1(C)C,1
CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(OCCO)C1OC(OCCO)CC1OCCO,0
CCCCCCCC(=O)O,1
CC(C)O,0
Oc1ccccc1N=Nc1ccccc1O,1
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0
Oc1ccc(O)cc1,1
CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1,1
C=CC(=O)OCCCC,1
CC(=O)C(C)=CC1C(C)=CCCC1(C)C,1
CCOC(=O)c1ccc(N)cc1,1
